Egg Fried Rice,A rice dish well seasoned and stir-fried in a handsome manner,Popular dish among the residents as it tastes as good as it looks
Grilled Maculata,Hearty and firm; the fish is perfect for grilling,Not the most delicate food but provides comfort to all
Peach Pie,Old-fashioned peach pie made with fresh peaches and shortcrust pastry,The ideal treat for a glamorous summer day
Rhododendron Tea,The specialty drink packed with a unique aroma and health benefits: it’s commonly decorated with evergreen leaves and white petals,Herbal tea that refreshes ones’ senses
Seafood Soup,The creamy soup is loaded with seasonal produce and fresh sea ingredients,The sensational dish is the very best the sea could offer
Flower Box,The flower box is highly decorative and retains a blissful aroma; its beauty resonates with the viewer,Many are surprised at how slowly the flower box dries out; but they are authentic flowers indeed.
Oak Bed,A bed handmade with quality oak; therefore a little rough on the edges,A place for rest and contemplation; although dwellers usually fall asleep fast enough so that the second usage is only known to a few.
Oak Door,A door handcrafted with quality oak; a little basic but quite functional,The ideal door for those who seek to hide their darkest secrets within.
Oak Stool,A stool handcrafted with quality oak; easy to dust and clean,A piece of furniture that is rarely used; considering how uncomfortable it is.
Oak Table,A long table handmade with quality oak; stern and honorable to those who use it,Suitable for all purposes; although dueling on it is not often encouraged.
Straw Bed,A cosy little nest filled with straws; the pallet is comfortable but doesn’t usually last,Sometimes doing things the traditional way is the most satisfactory
Straw Wall,A wall using straw as the major structural component,Dreadful during rain seasons; but prone to wildfires.
Hay Wall,Herbaceous plant cut; dried; and piled up,Strategic grain reserve for the herds.
Chicken Egg,The egg is freshly produced every day; and is a crucial ingredient in many dishes,The reward of a holy war: the winner takes it all.
Clam,The clam is raked with care and thoroughly cleaned. They taste salty and the unique texture is chewy,The clams are nutritious and delicious you only wish they could grow larger; and so do they.
Clay,The humble ingredients of soil are used in various ways to build things,It is well known that the clay has defeated their eternal enemy; the water.
Honey,A viscous ingredient with a unique taste and color; irreplaceable in certain recipes,Natural sweeteners cannot cause tooth decay; can it?
Natural Beehive,A homebase for the bees consists of its famous hexagon shapes,Many are dutied with guarding its most precious produces; which poses such allure.
Oak Log,Harvested from the finest trees on the island; the hardwood is highly suitable for making furniture,Sometimes; you crave an alternative that is easier to maneuver than this stubborn wood; albeit of its beauty.
Peach,A fruit known for its sweet; tart flavor; good as snacks and for culinary uses,You’re one in a melon; but I’m a peach of a fruit!
Raw Maculata,Prized for its rich; oily taste; and firm textures; the fish is a popular choice for sea food,Only look dreadful before they are properly cooked.
Rhododendron Flower,The bright flowers tend to grow in large clusters and can be seen all year round,Often mistaken as a pile of fire flames perching at the side of a mountain.
Rice,The cereal grain is a staple food source for residents; as it is easy to store and prepare,Rice combines exceptionally well with many other ingredients; making it highly valuable to residents.
Soil,Organic matter is crucial in supporting the survival of plants; The foundation of human life,Without soil; nothing could thrive.
Stone,Tough and nonmetallic mineral matter that yields many purposes in construction,often ignored for their commonality; stones cemented nearly all of our everlasting cultural legacy.
Straw,Dry stalks of plants,Might be useful in unexpected ways.
Wenyao Fish,A unique fish covered in black stripes and gifted with a pair of wings,They are told to bring about good harvest; but their unusual taste; sour and sweet in essence; might not conform with everybody’s preference.
Wood Stick,A thin piece of wood that is shaped harmoniously,A stick has a fun way to itself; but it can be as serious as one could ever wish for.
Zhuyu,A chive like type of grass that could be eaten; its high fiber content maintains the eater’s feeling of fullness,An ultimate energy bomb although it looks nothing in comparison.
Half Oak Log,Oak logs become more versatile after processing,Wholesome does not always promise perfection.
Straw String,A stern rope made by the fibers in straws,Its ordinariness often makes residents forget how useful it is.
Beehive,A homebase for the bees consists of its famous hexagon shapes,Many are dutied with guarding its most precious produces; which poses such allure.
Chicken Coop,A perfect stronghold for the hens to shelter them from harm and abnormal weather,Sometimes; you feel you are fighting a holy war with the hens; despite the nobleness of your mission.
Fish Trap,A simple and strategic setup to catch fish and other marine animals made with quality nets and wood sticks,Sometimes you might be surprised by what is actually trapped in there—we hope it’s something marvellous!
Rice Field,Partially flooded with water; the paddy is used to cultivate rice crops,It’s a miracle these plants survive in water; others can’t bear that much moisture.
Stone Axe,A tool made with rock and wood; required for exploration when applicable,Is it used to chop woods?
Stone Pickaxe,A tool made with rock; required for exploration when applicable,Is it used to mine ores?
Stone Shovel,A tool made with rock; required for exploration when applicable,Is it used to dig up treasures?
Splitting Block,A construction station used to process primary resources,The marks and cracks on the board must be a sign of how useful this station truly is.
Kiln,An ancient type of owen tempted with high temperatures; handy for producing pottery and glass,Out; out; brief candle! Life's but a walking shadow.
Campfire,Stone stove in a bowl shape,The source of light and warmth.
Camp Fire,Stone stove in a bowl shape,The source of light and warmth.
Storage Vat,A vessel used for storage purposes,The place to go when a disaster strikes.
Workshop,A construction station used to craft and upgrade new items,There exists the eternal question: why can’t the station build things automatically?
